company_name,yahoo_ticker
SAP,SAP.DE
SIEMENS,SIE.DE
ALLIANZ,ALV.DE
DEUTSCHE TELEKOM,DTE.DE
SIEMENS ENERGY,ENR.DE
AIRBUS,AIR.PA
RHEINMETALL,RHM.DE
MUENCHENER RUECK,MUV2.DE
INFINEON TECHNOLOGIES,IFX.DE
DEUTSCHE BANK,DBK.DE
DEUTSCHE BOERSE,DB1.DE
DEUTSCHE POST,DHL.DE
E.ON,EOAN.DE
BASF,BAS.DE
RWE,RWE.DE
BAYER,BAYN.DE
MERCEDES-BENZ GROUP,MBG.DE
ADIDAS,ADS.DE
HEIDELBERG MATERIALS,HEI.DE
DAIMLER TRUCK,DTG.DE
BMW,BMW.DE
COMMERZBANK,CBK.DE
FRESENIUS,FRE.DE
VOLKSWAGEN PREF,VOW3.DE
MTU AERO ENGINES,MTX.DE
HANNOVER RUECK,HNR1.DE
Vonovia SE,VNA.DE
SIEMENS HEALTHINEERS,SHL.DE
MERCK,MRK.DE
HENKEL PREF,HEN3.DE
SYMRISE,SY1.DE
GEA GRP,G1A.DE
FRESENIUS MEDICAL CARE,FME.DE
QIAGEN,QIA.DE
BEIERSDORF,BEI.DE
CONTINENTAL,CON.DE
BRENNTAG,BNR.DE
ZALANDO,ZAL.DE
SCOUT24,G24.DE
PORSCHE AUTOMOBIL HLDG PREF,PAH3.DE
